customer_id,status,name,country,rental_id,movie_title,length,category,rating,price,rental_duration,payment_date,rental_date,return_date,return_duration,return_status,amount
130,active,"CHARLOTTE HUNTER",Brazil,1,"BLANKET BEVERLY",148,Family,G,2.99,7,2005-05-24,2005-05-24,2005-05-26,2,"on time",2.99
459,active,"TOMMY COLLAZO",Iran,2,"FREAKY POCUS",126,Music,R,2.99,7,2005-05-24,2005-05-24,2005-05-28,4,"on time",2.99
408,active,"MANUEL MURRELL","Sri Lanka",3,"GRADUATE LORD",156,Children,G,2.99,7,2005-05-24,2005-05-24,2005-06-01,8,late,3.99
333,active,"ANDREW PURDY",Azerbaijan,4,"LOVE SUICIDES",181,Horror,R,0.99,6,2005-05-24,2005-05-24,2005-06-03,10,late,4.99
222,active,"DELORES HANSEN","Russian Federation",5,"IDOLS SNATCHERS",84,Children,NC-17,2.99,5,2005-05-24,2005-05-24,2005-06-02,9,late,6.99
549,active,"NELSON CHRISTENSON",Spain,6,"MYSTIC TRUMAN",92,Comedy,NC-17,0.99,5,2005-05-24,2005-05-24,2005-05-27,3,"on time",0.99
269,active,"CASSANDRA WALTERS","United States",7,"SWARM GOLD",123,Horror,PG-13,0.99,4,2005-05-24,2005-05-24,2005-05-29,5,late,1.99
239,active,"MINNIE ROMERO",Indonesia,8,"LAWLESS VISION",181,Animation,G,4.99,6,2005-05-24,2005-05-24,2005-05-27,3,"on time",4.99
126,active,"ELLEN SIMPSON",Brazil,9,"MATRIX SNOWMAN",56,Foreign,PG-13,4.99,6,2005-05-25,2005-05-25,2005-05-28,3,"on time",4.99
399,active,"DANNY ISOM",Pakistan,10,"HANGING DEEP",62,Drama,G,4.99,5,2005-05-25,2005-05-25,2005-05-31,6,late,5.99
142,active,"APRIL BURNS","United Kingdom",11,"WHALE BIKINI",109,Foreign,PG-13,4.99,4,2005-05-25,2005-05-25,2005-06-02,8,late,8.99
261,active,"DEANNA BYRD",Philippines,12,"GAMES BOWFINGER",119,Travel,PG-13,4.99,7,2005-05-25,2005-05-25,2005-05-30,5,"on time",4.99
334,active,"RAYMOND MCWHORTER",Azerbaijan,13,"KING EVOLUTION",184,Family,NC-17,4.99,3,2005-05-25,2005-05-25,2005-05-30,5,late,6.99
